date,player,item
2021-01-13,Yurei,Desecrated Sandals
2021-01-13,Dorvana,Desecrated Sandals
2021-01-13,Nolimitation,Hailstone Band
2021-01-13,Nolimitation,Desecrated Waistguard
2021-01-13,Coyle,Desecrated Bracers
2021-01-13,Coyle,Plated Abomination Ribcage
2021-01-13,Madreefer,Ring of the Eternal Flame
2021-01-13,Fanmail,Desecrated Pauldrons
2021-01-13,Ziion,Necro-Knight's Garb
2021-01-13,Ebaglow,Misplaced Servo Arm
2021-01-13,Jaecar,Band of Reanimation
2021-01-13,Vieirax,Icy Scale Coif
2021-01-13,Puzzles,Idol of Longevity
2021-01-13,Toddmanflex,Icebane Pauldrons
2021-01-13,Rawseki,Desecrated Circlet
2021-01-13,Candykong,Wristguards of Vengeance
2021-01-13,Cleofatra,Toxin Injector
2021-01-13,Rawseki,Necro-Knight's Garb
2021-01-13,Milkdudz,Desecrated Spaulders
2021-01-13,Sreksin,Desecrated Sandals
2021-01-13,Sreksin,Glacial Headdress
2021-01-13,Rangebot,Desecrated Wristguards
2021-01-13,Therian,Leggings of Elemental Fury
2021-01-13,Cootertimer,Desecrated Handguards
2021-01-13,Fyl,Desecrated Gauntlets
2021-01-13,Fyl,Desecrated Waistguard
2021-01-13,Therian,Desecrated Headpiece
2021-01-14,Helbent,Doomfinger
2021-01-14,Kazuu,Sapphiron's Right Eye
2021-01-14,Battlecrow,Desecrated Legplates
2021-01-14,Apache,Warmth of Forgiveness
2021-01-14,Stango,Might of the Scourge
2021-01-14,Mugwort,Desecrated Legguards
2021-01-14,Deadshot,Nerubian Slavemaker
2021-01-14,Pokerdots,Desecrated Robe
2021-01-14,Apache,Girdle of Elemental Fury
2021-01-14,Madreefer,Frostfire Ring
2021-01-14,Coyotee,Belt of Might
2021-01-14,Rawseki,Ring of Spiritual Fervor
2021-01-14,Matamata,Ring of the Dreamwalker
2021-01-14,Chetmagnum,Earthfury Helmet
2021-01-14,Ebaglow,The Phylactery of Kel'Thuzad
2021-01-14,Sreksin,Desecrated Robe
2021-01-14,Dorvana,Power of the Scourge
2021-01-14,Nolimitation,The Face of Death
2021-01-20,Labignoune,Spire of Twilight
2021-01-20,Deadshot,Desecrated Wristguards
2021-01-20,Fanmail,Desecrated Gauntlets
2021-01-20,Stango,Desecrated Waistguard
2021-01-20,Soapycheekz,Desecrated Headpiece
2021-01-20,Stango,Ghoul Skin Tunic
2021-01-20,Helbent,Ring of the Eternal Flame
2021-01-20,Vieirax,Girdle of the Mentor
2021-01-20,Soapycheekz,Cloak of Suturing
2021-01-20,Groves,Preceptor's Hat
2021-01-20,Stango,Icebane Pauldrons
2021-01-20,Bigdrou,Desecrated Bindings
2021-01-20,Labignoune,Desecrated Shoulderpads
2021-01-20,Puzzles,Boots of Displacement
2021-01-20,Orczig,Desecrated Waistguard
2021-01-20,Nolimitation,Cryptfiend Silk Cloak
2021-01-20,Nolimitation,Toxin Injector
2021-01-20,Dorvana,Ring of the Eternal Flame
2021-01-20,Slyba,Desecrated Pauldrons
2021-01-20,Cleofatra,Cloak of the Scourge
2021-01-20,Slyba,Desecrated Sabatons
2021-01-20,Lexani,Desecrated Sandals
2021-01-20,Mugwort,Desecrated Headpiece
2021-01-20,Mugwort,Desecrated Spaulders
2021-01-20,Slyba,Desecrated Gauntlets
2021-01-21,Slyba,Might of the Scourge
2021-01-21,Schmoopaloop,Resilience of the Scourge
2021-01-21,Stango,Band of Unnatural Forces
2021-01-21,Coyle,Stormrage's Talisman of Seething
2021-01-21,Ziion,Desecrated Robe
2021-01-21,Groves,The Phylactery of Kel'Thuzad
2021-01-21,Martyjnnetty,Cloak of the Necropolis
2021-01-21,Cleofatra,Ring of the Dreadnaught
2021-01-21,Madreefer,Doomfinger
2021-01-21,Candykong,Slayer's Crest
2021-01-21,Yurei,Desecrated Robe
2021-01-21,Puzzles,Ring of the Dreamwalker
2021-01-21,Rangebot,Desecrated Legguards
2021-01-21,Bigdrou,Desecrated Leggings
