player,rank,class
Puzzles,Core Raider,Druid
Sunorc,Mute,Hunter
Cyxn,Mute,Hunter
Sillac,Officer,Hunter
Stoff,Mute,Hunter
Sinikal,Mute,Hunter
Yungassfeast,Mute,Mage
Yeetmage,Mute,Mage
Hellfry,Core Raider,Mage
Madreefer,Core Raider,Mage
Botrange,Social,Hunter
Wawaks,Mute,Mage
Xuthos,Mute,Mage
Jaecar,Core Raider,Hunter
Kazuu,Officer,Priest
Arnya,Mute,Warlock
Rawseki,Officer,Priest
Shartstain,Social,Priest
Rickeyrosay,Mute,Priest
Meatlips,Mute,Rogue
Ahtra,Mute,Rogue
Battlecrow,Core Raider,Rogue
Clage,Mute,Rogue
Reach,Mute,Rogue
Tiktaqto,Mute,Rogue
Shocket,Mute,Shaman
Violator,Mute,Shaman
Ohms,Mute,Shaman
Overcharged,Social,Shaman
Grimblebee,Mute,Warlock
Pokerdots,Core Raider,Warlock
Shallan,Mute,Warlock
Tow,Mute,Warlock
Ironmanx,Mute,Warrior
Torkt,Social,Warrior
Cleofatra,Officer,Warrior
Nolimitation,Officer,Warrior
Orczig,Core Raider,Warrior
Sunderz,Mute,Warrior
Ugrosh,Mute,Warrior
Gallowbraid,Social,Warrior
Hammerfeet,Mute,Shaman
Yahku,Mute,Rogue
Rekkless,Social,Shaman
Rangebot,Core Raider,Hunter
Vexusbeast,Mute,Mage
Deebo,Mute,Shaman
Gaiam,Mute,Shaman
Shookt,Mute,Priest
Magius,Social,Warlock
Coyotee,Officer,Rogue
Fanmail,Core Raider,Rogue
Sphyte,Mute,Warrior
Aerek,Mute,Warrior
Jujubes,Social,Warrior
Bigdrou,Core Raider,Mage
Brakos,Mute,Warrior
Koah,Mute,Warrior
Tuffcountry,Mute,Warrior
Serifen,Mute,Rogue
Chaningtotem,Mute,Shaman
Oor,Mute,Druid
Deadshift,Mute,Druid
Martyjnnetty,Core Raider,Mage
Boom,Mute,Shaman
Blvckmage,Mute,Mage
Osirisstars,Social,Mage
Stewy,Mute,Hunter
Anothaone,Mute,Mage
Gedd,Social,Warlock
Garf,Mute,Warrior
Matamata,Core Raider,Druid
Wb,Mute,Warlock 
Andromeda,Mute,Shaman
Gorro,Mute,Warrior
Dunkziceman,Mute,Druid
Bigsmokin,Mute,Shaman
Zorocaster,Mute,Shaman
Brocaine,Mute,Rogue
Cyaniide,Mute,Warrior
Ramessesii,Mute,Warrior
Ðeadshot,Core Raider,Hunter
Warpig,Social,Druid
Helbent,Core Raider,Mage
Navaros,Mute,Rogue 
Fyl,Raider,Rogue
Mtlpanda,Mute,Warlock
Hammercake,Mute,Shaman
Nuge,Mute,Shaman
Candykong,Core Raider,Warrior
Bobfelix,Mute,Warrior
Ariben,Social,Warrior
Mentat,Mute,Druid
Schmoopaloop,Core Raider,Druid
Bigsmokin,Mute,Shaman
Cowbino,Mute,Shaman
Chunkykong,Social,Shaman
Gankiskon,Mute,Warlock 
Shkarn,Member,Shaman
Nieko,Mute,Warrior
Belated,Mute,Warrior
Aerek,Social,Warrior
Sloane,Mute,Priest
Tego,Mute,Warlock
Cignul,Mute,Priest
Twankvers,Social,Rogue
Hangs,Mute,Shaman
Tegobear,Mute,Druid
Martinez,Social,Warlock
Lilboner,Social,Shaman
Kazsuki,Mute,Shaman
Labignoune,Core Raider,Priest
Aeneas,Mute,Shaman
Murbs,Social,Shaman
Eggsando,Social,Warrior
Elal,Social,Warrior
Shulman,Social,Priest
Kazzic,Social,Warlock
Gershtann,Mute,Shaman
Metminwi,Mute,Hunter
Tyrodtailor,Mute,Rogue
Negrete,Mute,Rogue
Groves,Core Raider,Priest
Seadoo,Mute,Warlock
Stampapa,Mute,Warrior
Soapycheekz,Core Raider,Shaman
Peptide,Social,Mage
Slyba,Core Raider,Rogue
Vieirax,Core Raider,Warrior
Coyle,Core Raider,Warrior
Oreozz,Social,Warlock
Oor,Social,Druid
Stango,Core Raider,Warrior
Swaggyman,Core Raider,Warrior
Marielc,Social,Mage
Milkdudz,Core Raider,Shaman
Ziion,Core Raider,Warlock
Mugwort,Core Raider,Shaman
Dorvana,Core Raider,Mage
Ebaglow,Core Raider,Rogue
Apache,Raider,Shaman
Purplehaze,Mute,Warlock
Revann,Social,Mage
Sreksin,Core Raider,Warlock
Therian,Member,Shaman
Yurei,Raider,Priest
Cootertimer,Raider,Shaman
Bcm,Member,Priest
Toddmanflex,Raider,Warrior
Lexani,Trial,Warlock
